name,selling_price in Ph,year,seller_type,owner,km_driven,ex_showroom_price
Royal Enfield Shotgun 650,123530,2019,Dealer,First Owner,20303,393867
Honda BeAT Premium ISS/CBS,475330,2018,Dealer,First Owner,14968,170204
Kawasaki Ninja 300,298070,2020,Private,Second Owner,34692,123147
Suzuki Gixxer SF 155,57661,2020,Private,First Owner,14248,240184
Yamaha Mio Fazzio,226448,2020,Private,Third Owner,5249,536997
Yamaha Mio Aerox S,57027,2020,Private,Third Owner,11519,337617
Honda BeAT Premium ISS/CBS,405269,2022,Marketplace,First Owner,44866,281399
Kymco Skytown 150,123115,2021,Dealer,First Owner,4202,199704
Honda BeAT Premium ISS/CBS,329583,2023,Private,First Owner,10719,154291
Kymco Like S 150,451854,2020,Marketplace,Third Owner,3542,251690
Yamaha MT-03,452728,2024,Private,Second Owner,38146,434537
Honda BeAT Premium ISS/CBS,148644,2021,Dealer,First Owner,44828,245845
Kawasaki Ninja 300,363456,2021,Marketplace,Third Owner,37503,421159
Royal Enfield Shotgun 650,360863,2019,Private,Second Owner,7483,599134
Yamaha Mio Fazzio,255317,2024,Private,Third Owner,31083,412806
Yamaha Mio Fazzio,102429,2021,Dealer,Second Owner,3103,199127
Suzuki Burgman 125,282189,2017,Private,First Owner,44381,344751
Yamaha Mio Aerox S,131505,2021,Dealer,First Owner,13055,411793
Yamaha MT-03,492862,2019,Marketplace,Second Owner,49243,582872
Honda BeAT Premium ISS/CBS,441695,2024,Dealer,Second Owner,12431,137819
Yamaha MT-03,322411,2020,Private,Second Owner,37684,352053
Yamaha Mio Fazzio,83484,2021,Private,Third Owner,7227,83925
Honda CRF250L,123685,2018,Marketplace,First Owner,22340,61788
Yamaha Mio Fazzio,251993,2017,Marketplace,Second Owner,33188,69429
Royal Enfield Shotgun 650,179381,2022,Marketplace,First Owner,6898,256679
Honda CRF250L,230504,2019,Private,Third Owner,38309,444479
Yamaha Sniper 155,460558,2024,Dealer,Second Owner,14516,369776
Honda BeAT Premium ISS/CBS,40379,2023,Private,First Owner,24161,586725
Royal Enfield Shotgun 650,50391,2019,Private,First Owner,24384,399772
Suzuki Burgman 125,145435,2018,Marketplace,Third Owner,14575,78358
Kawasaki Ninja 300,391766,2023,Marketplace,Second Owner,40183,347347
Royal Enfield Shotgun 650,466012,2017,Marketplace,Second Owner,8854,472829
Yamaha YZF R15 155,142529,2017,Dealer,First Owner,35325,313769
Yamaha YZF R15 155,63107,2018,Marketplace,Second Owner,5400,576433
Suzuki Burgman 125,349808,2021,Marketplace,Third Owner,24673,511822
Yamaha MT-03,121256,2019,Dealer,Third Owner,37730,296738
Kymco Like S 150,407852,2022,Dealer,First Owner,30584,559164
Royal Enfield Shotgun 650,295900,2017,Marketplace,Third Owner,11093,533079
Kawasaki Ninja 300,385772,2021,Dealer,First Owner,33643,499644
Kymco Skytown 150,92517,2020,Dealer,First Owner,33249,265372
Royal Enfield Shotgun 650,461865,2024,Private,Second Owner,16146,551572
Honda PCX160 CBS,282405,2019,Marketplace,Third Owner,5887,238184
Yamaha Mio Fazzio,239546,2022,Dealer,First Owner,46505,226049
Yamaha XMAX,477261,2021,Dealer,Third Owner,35237,399912
Yamaha Mio Aerox S,170548,2019,Private,Third Owner,18189,491374
Suzuki Burgman 125,185650,2017,Marketplace,Second Owner,29504,198088
Honda CRF250L,280859,2024,Dealer,First Owner,44426,370095
Yamaha Mio Aerox S,351749,2019,Private,Third Owner,32751,297590
Yamaha MT-03,67502,2024,Marketplace,Third Owner,30461,231311
Kymco Like S 150,164273,2019,Private,Second Owner,8819,369043
Yamaha MT-03,497219,2019,Private,Second Owner,13272,238583
Honda CRF250L,86318,2019,Private,First Owner,24932,222603
Yamaha XMAX,285316,2024,Marketplace,Second Owner,49497,117304
Kymco Skytown 150,214970,2018,Private,Second Owner,28183,330283
Kymco Skytown 150,479422,2019,Marketplace,Third Owner,26541,216809
Honda BeAT Premium ISS/CBS,198402,2018,Private,First Owner,16260,77792
Yamaha YZF R15 155,233040,2021,Private,First Owner,31329,368014
Suzuki Burgman 125,157374,2024,Private,First Owner,43569,351481
Yamaha Mio Aerox S,346774,2017,Private,First Owner,40219,218749
Honda PCX160 CBS,85011,2024,Dealer,Third Owner,15325,407572
Honda BeAT Premium ISS/CBS,64355,2017,Marketplace,Second Owner,15634,100036
Honda BeAT Premium ISS/CBS,382711,2017,Dealer,First Owner,14839,280688
Kymco Like S 150,217145,2023,Dealer,Third Owner,41917,532664
Royal Enfield Shotgun 650,156431,2023,Dealer,First Owner,33735,286394
Yamaha Sniper 155,485681,2024,Dealer,Second Owner,48566,105126
Yamaha Mio Fazzio,338303,2020,Dealer,Third Owner,45331,483370
Yamaha Mio Fazzio,164423,2021,Private,Third Owner,45947,89622
Suzuki Burgman 125,373645,2021,Private,Third Owner,41004,461065
Kawasaki Ninja 300,58245,2022,Dealer,Third Owner,11080,490756
Suzuki Gixxer SF 155,154893,2023,Marketplace,Second Owner,19155,225778
Royal Enfield Shotgun 650,145867,2023,Dealer,Third Owner,8253,344730
Suzuki Burgman 125,466944,2019,Private,First Owner,21156,181313
Suzuki Gixxer SF 155,116864,2017,Dealer,First Owner,27600,153596
Kymco Skytown 150,152230,2018,Private,Third Owner,17442,194294
Yamaha Mio Fazzio,80419,2024,Marketplace,First Owner,11465,156551
Honda BeAT Premium ISS/CBS,178753,2022,Dealer,Third Owner,35523,352145
Honda BeAT Premium ISS/CBS,289531,2023,Dealer,Third Owner,24655,299568
Yamaha MT-03,223466,2018,Marketplace,First Owner,44790,225740
Kymco Skytown 150,180322,2020,Dealer,Third Owner,35340,349091
Yamaha Sniper 155,386968,2019,Marketplace,First Owner,20784,335218
Yamaha Sniper 155,75933,2023,Private,Second Owner,32420,355245
Kawasaki Ninja 300,199124,2018,Dealer,Third Owner,47117,97632
Honda BeAT Premium ISS/CBS,75861,2018,Private,Third Owner,3329,157913
Yamaha Mio Fazzio,226598,2022,Dealer,Second Owner,46523,317098
Honda PCX160 CBS,457051,2024,Marketplace,Third Owner,36328,381698
Kawasaki Ninja 300,43443,2022,Marketplace,Third Owner,20857,128096
Honda PCX160 CBS,147192,2024,Private,First Owner,7555,524805
Kymco Like S 150,204863,2017,Dealer,Second Owner,13208,497393
Honda PCX160 CBS,52056,2017,Marketplace,Second Owner,34410,336089
Honda PCX160 CBS,65186,2018,Marketplace,First Owner,2718,491084
Yamaha XMAX,79520,2020,Dealer,Second Owner,33039,103403
Yamaha Sniper 155,277243,2019,Marketplace,Second Owner,21871,514801
Honda BeAT Premium ISS/CBS,309640,2017,Marketplace,First Owner,27395,73064
Kymco Skytown 150,125790,2024,Marketplace,Third Owner,34414,242546
Kymco Like S 150,471018,2023,Marketplace,Third Owner,14574,569283
Kawasaki Ninja 300,327402,2018,Marketplace,First Owner,40264,528777
Honda PCX160 CBS,196341,2023,Marketplace,First Owner,15424,259055
Kymco Skytown 150,309017,2022,Private,First Owner,19047,453128
Yamaha Mio Fazzio,72699,2020,Private,First Owner,15056,221866
Yamaha YZF R15 155,288145,2022,Private,Third Owner,6086,167309
Yamaha Mio Aerox S,266565,2024,Marketplace,Third Owner,15638,550797
Suzuki Burgman 125,454871,2023,Private,First Owner,16734,80983
Suzuki Burgman 125,421927,2023,Marketplace,Third Owner,19776,527795
Yamaha Mio Aerox S,142441,2019,Marketplace,Second Owner,26777,573711
Yamaha XMAX,212468,2019,Dealer,Third Owner,28828,318265
Royal Enfield Shotgun 650,144001,2022,Dealer,Second Owner,46787,81198
Honda BeAT Premium ISS/CBS,412283,2017,Private,Second Owner,19832,337275
Honda CRF250L,176772,2019,Dealer,Third Owner,26297,236513
Honda BeAT Premium ISS/CBS,327747,2017,Private,Third Owner,35023,409786
Yamaha MT-03,99297,2020,Private,First Owner,42410,213015
Kymco Skytown 150,117703,2023,Private,Third Owner,12585,86025
Honda CRF250L,441822,2022,Dealer,First Owner,13579,373286
Yamaha Mio Fazzio,276456,2022,Dealer,Third Owner,30311,508789
Honda PCX160 CBS,164788,2023,Dealer,First Owner,28907,257622
Honda BeAT Premium ISS/CBS,296265,2020,Marketplace,First Owner,24938,436153
Suzuki Gixxer SF 155,232441,2018,Dealer,Second Owner,38554,406160
Kymco Like S 150,219239,2023,Private,Second Owner,3397,552804
Royal Enfield Shotgun 650,490491,2023,Private,Second Owner,14163,338492
Royal Enfield Shotgun 650,455195,2024,Marketplace,Second Owner,25665,446432
Suzuki Burgman 125,311459,2021,Private,Third Owner,8952,397711
Suzuki Gixxer SF 155,70834,2023,Private,First Owner,40901,234371
Kymco Skytown 150,365737,2022,Dealer,Second Owner,27772,463794
Honda CRF250L,280104,2024,Private,Third Owner,40613,152896
Kymco Like S 150,408072,2019,Marketplace,First Owner,1521,429280
Kymco Skytown 150,56512,2018,Private,First Owner,29607,246696
Yamaha YZF R15 155,187316,2019,Private,Third Owner,29584,284038
Kymco Skytown 150,232788,2020,Dealer,Third Owner,29187,386719
Yamaha Mio Aerox S,165816,2023,Private,First Owner,19548,391290
Honda CRF250L,484583,2021,Marketplace,First Owner,29199,233847
Honda BeAT Premium ISS/CBS,265108,2019,Marketplace,Third Owner,20165,309617
Suzuki Gixxer SF 155,337655,2023,Dealer,Second Owner,26386,563540
Royal Enfield Shotgun 650,152637,2017,Marketplace,Second Owner,5274,465470
Yamaha XMAX,407439,2022,Dealer,Third Owner,49146,244976
Royal Enfield Shotgun 650,187605,2021,Dealer,Second Owner,40198,396206
Yamaha Mio Aerox S,313020,2020,Marketplace,Third Owner,21938,550331
Yamaha YZF R15 155,277727,2018,Dealer,Second Owner,41263,496582
Yamaha Sniper 155,223500,2022,Dealer,Third Owner,17055,280096
Honda PCX160 CBS,477470,2017,Marketplace,Second Owner,7192,425249
Yamaha Sniper 155,75465,2018,Private,Second Owner,17978,54462
Suzuki Burgman 125,86015,2020,Dealer,First Owner,7433,514531
Yamaha YZF R15 155,343544,2023,Private,First Owner,25138,444352
Kymco Like S 150,383774,2019,Marketplace,Third Owner,31430,473689
Yamaha Sniper 155,384097,2021,Private,Second Owner,14524,402794
Suzuki Burgman 125,323927,2018,Marketplace,Second Owner,13224,85185
Suzuki Gixxer SF 155,81700,2023,Private,Second Owner,15056,288314
Yamaha Mio Aerox S,470449,2021,Marketplace,Third Owner,19894,451027
Kawasaki Ninja 300,487339,2024,Private,Third Owner,5400,557823
Yamaha Mio Aerox S,127426,2021,Private,First Owner,1127,184579
Kymco Skytown 150,387058,2019,Marketplace,Third Owner,38719,191100
Honda BeAT Premium ISS/CBS,265492,2017,Marketplace,Third Owner,42860,566081
Yamaha MT-03,113020,2019,Marketplace,Third Owner,25437,468562
Kymco Skytown 150,249265,2023,Marketplace,Third Owner,35395,597293
Yamaha Mio Aerox S,182951,2020,Dealer,First Owner,34239,308822
Kawasaki Ninja 300,374330,2024,Dealer,First Owner,3254,480763
Suzuki Gixxer SF 155,279077,2024,Marketplace,Second Owner,48942,263978
Honda PCX160 CBS,239115,2023,Marketplace,First Owner,5323,261824
Yamaha MT-03,372315,2021,Dealer,Second Owner,35880,434324
Honda PCX160 CBS,403674,2018,Marketplace,Third Owner,21041,445374
Yamaha Mio Fazzio,476066,2023,Private,Second Owner,45345,272006
Yamaha Sniper 155,117999,2017,Dealer,First Owner,46689,278952
Honda PCX160 CBS,97028,2024,Private,Third Owner,23657,542789
Yamaha Mio Fazzio,123461,2018,Dealer,First Owner,32568,91398
Honda BeAT Premium ISS/CBS,284964,2024,Marketplace,Second Owner,43386,442745
Honda BeAT Premium ISS/CBS,52815,2020,Private,Second Owner,28807,241955
Kymco Skytown 150,192652,2020,Private,Second Owner,22219,191078
Yamaha MT-03,274775,2020,Marketplace,Third Owner,30743,194035
Kawasaki Ninja 300,71563,2017,Private,Second Owner,13411,390657
Kymco Skytown 150,212249,2020,Dealer,First Owner,20399,465811
Honda BeAT Premium ISS/CBS,201348,2020,Dealer,Second Owner,11624,89399
Yamaha Mio Aerox S,78190,2023,Private,First Owner,25081,401133
Kymco Like S 150,184683,2017,Dealer,Third Owner,30508,405473
Royal Enfield Shotgun 650,453714,2019,Marketplace,Second Owner,33081,559383
Suzuki Gixxer SF 155,441076,2020,Dealer,Third Owner,43472,237211
Yamaha Mio Aerox S,364047,2021,Marketplace,First Owner,47069,323731
Yamaha Mio Fazzio,299660,2021,Marketplace,First Owner,14043,456922
Yamaha Mio Aerox S,402942,2018,Dealer,First Owner,6111,185690
Yamaha MT-03,84176,2019,Marketplace,Third Owner,48093,301736
Yamaha MT-03,380614,2021,Dealer,Third Owner,2198,164223
Yamaha Mio Fazzio,421109,2021,Private,Second Owner,39255,177942
Yamaha Mio Aerox S,58935,2020,Marketplace,Third Owner,5732,363927
Honda PCX160 CBS,223154,2017,Private,Third Owner,44567,316022
Royal Enfield Shotgun 650,443499,2020,Dealer,First Owner,33938,286136
Honda BeAT Premium ISS/CBS,437142,2021,Private,Second Owner,13915,300637
Kymco Like S 150,52463,2024,Dealer,Third Owner,8926,508140
Yamaha Mio Aerox S,369317,2024,Marketplace,Second Owner,30269,189432
Suzuki Burgman 125,493149,2017,Private,Third Owner,17199,347439
Honda PCX160 CBS,226698,2022,Private,Third Owner,4770,241993
Suzuki Burgman 125,490999,2021,Private,Third Owner,23270,293296
Suzuki Burgman 125,437992,2019,Dealer,Second Owner,47642,206056
Yamaha XMAX,267333,2017,Marketplace,Third Owner,22186,523225
Yamaha Sniper 155,227729,2024,Private,First Owner,27788,78496
Kymco Like S 150,475166,2021,Dealer,Second Owner,37003,323444
Yamaha Mio Fazzio,335797,2017,Dealer,Second Owner,38002,512642
Yamaha Mio Fazzio,53329,2021,Dealer,Third Owner,12194,404408
Kymco Skytown 150,188219,2023,Marketplace,Second Owner,30893,316383
Yamaha Mio Fazzio,258088,2023,Private,Second Owner,39193,158378
Kymco Skytown 150,102868,2022,Marketplace,Third Owner,23254,548155
Yamaha YZF R15 155,382926,2021,Private,Third Owner,37128,183830
Yamaha XMAX,349878,2024,Private,Third Owner,39532,548964
Yamaha XMAX,342629,2017,Private,Third Owner,22237,411263
Yamaha XMAX,417003,2024,Dealer,Third Owner,21229,501450
Yamaha Sniper 155,419228,2017,Private,Second Owner,19711,104023
Honda CRF250L,125019,2023,Private,Second Owner,47525,58613
Kymco Skytown 150,123505,2020,Marketplace,Second Owner,44670,424997
Suzuki Gixxer SF 155,330114,2023,Private,Second Owner,41892,94394
Suzuki Burgman 125,464365,2020,Marketplace,Second Owner,37933,190607
Kymco Skytown 150,182515,2022,Marketplace,Second Owner,34272,415140
Yamaha YZF R15 155,455552,2023,Private,Third Owner,25572,254993
Yamaha XMAX,423134,2024,Private,Third Owner,28506,396098
Honda PCX160 CBS,185225,2021,Private,First Owner,16103,108738
Yamaha MT-03,44218,2017,Private,Third Owner,14629,577980
Kymco Skytown 150,370397,2023,Dealer,Third Owner,36452,436948
Yamaha Sniper 155,422045,2018,Dealer,Second Owner,21102,393021
Suzuki Burgman 125,333337,2022,Private,Second Owner,37077,425590
Suzuki Burgman 125,154940,2024,Dealer,Second Owner,22852,201408
Honda BeAT Premium ISS/CBS,62258,2018,Marketplace,First Owner,48655,328581
Honda PCX160 CBS,400321,2019,Dealer,Second Owner,40046,210797
Yamaha Mio Aerox S,282293,2018,Dealer,First Owner,21562,566466
Kawasaki Ninja 300,137605,2024,Private,First Owner,39851,297938
Kymco Skytown 150,492901,2017,Private,Second Owner,46751,438234
Honda CRF250L,265729,2019,Dealer,Third Owner,9198,417981
Honda BeAT Premium ISS/CBS,268051,2024,Marketplace,Second Owner,48715,98465
Yamaha YZF R15 155,409608,2020,Marketplace,First Owner,41561,219920
Honda BeAT Premium ISS/CBS,474500,2017,Dealer,Third Owner,32442,320767
Royal Enfield Shotgun 650,357983,2020,Private,Second Owner,43563,527698
Yamaha YZF R15 155,83545,2020,Private,Second Owner,19957,241935
Yamaha Mio Aerox S,297239,2017,Marketplace,First Owner,9221,562414
Yamaha MT-03,218096,2023,Private,Second Owner,14747,388109
Kymco Skytown 150,367628,2023,Marketplace,Second Owner,8679,526279
Suzuki Gixxer SF 155,209573,2018,Dealer,Third Owner,26092,395764
Honda BeAT Premium ISS/CBS,290449,2020,Marketplace,First Owner,4056,151568
Yamaha Mio Fazzio,306920,2018,Private,Third Owner,27991,489106
Yamaha MT-03,146027,2017,Private,Second Owner,29646,493844
Suzuki Burgman 125,435138,2017,Dealer,First Owner,1690,184281
Yamaha Sniper 155,190836,2022,Dealer,First Owner,16416,371003
Suzuki Burgman 125,142854,2018,Private,Second Owner,3277,124005
Kawasaki Ninja 300,489035,2017,Private,First Owner,9494,520305
Honda BeAT Premium ISS/CBS,199308,2024,Private,First Owner,31748,395070
Kawasaki Ninja 300,220701,2018,Dealer,First Owner,30333,456459
Yamaha MT-03,285339,2020,Marketplace,First Owner,11600,294245
Yamaha Sniper 155,67497,2017,Dealer,First Owner,43113,245614
Kawasaki Ninja 300,280982,2017,Dealer,First Owner,3911,427055
Yamaha YZF R15 155,396661,2017,Private,Second Owner,43691,229826
Kymco Like S 150,244194,2017,Marketplace,Third Owner,38809,522869
Kymco Like S 150,443084,2020,Dealer,First Owner,22665,56040
Yamaha Mio Fazzio,473327,2021,Marketplace,First Owner,47949,525204
Honda CRF250L,40600,2017,Marketplace,First Owner,45707,431534
Yamaha MT-03,368549,2019,Private,Third Owner,25818,288495
Yamaha XMAX,480991,2023,Dealer,Third Owner,27213,210346
Kymco Skytown 150,238267,2020,Dealer,First Owner,46863,587220
Yamaha Mio Aerox S,365632,2018,Dealer,Third Owner,35231,577301
Yamaha Sniper 155,210111,2020,Dealer,First Owner,42994,194307
Yamaha XMAX,339226,2018,Marketplace,Third Owner,35970,117629
Royal Enfield Shotgun 650,219285,2022,Marketplace,Second Owner,12836,514697
Yamaha Sniper 155,139552,2019,Marketplace,Second Owner,27084,534071
Yamaha Mio Fazzio,190379,2021,Private,Second Owner,35563,102811
Suzuki Gixxer SF 155,451804,2023,Private,Third Owner,22813,537127
Yamaha Sniper 155,431658,2018,Private,First Owner,19086,592806
Yamaha XMAX,181433,2018,Private,Third Owner,12160,421004
Yamaha Mio Aerox S,229625,2020,Marketplace,Third Owner,17925,288977
Kymco Skytown 150,391081,2017,Dealer,Second Owner,28118,528458
Honda BeAT Premium ISS/CBS,193044,2019,Marketplace,First Owner,42250,500945
Kawasaki Ninja 300,376325,2017,Marketplace,Third Owner,33026,590748
Royal Enfield Shotgun 650,389914,2023,Marketplace,Second Owner,49445,163540
Yamaha Sniper 155,409603,2019,Dealer,Third Owner,6096,63466
Yamaha YZF R15 155,411198,2024,Dealer,Third Owner,30597,355266
Kymco Skytown 150,42863,2017,Dealer,First Owner,12611,396309
Suzuki Burgman 125,183805,2019,Marketplace,Second Owner,14880,448261
Honda PCX160 CBS,267774,2017,Dealer,Third Owner,2983,184548
Honda PCX160 CBS,414600,2017,Dealer,Second Owner,26626,360103
Suzuki Gixxer SF 155,434597,2019,Private,Second Owner,33651,549395
Honda BeAT Premium ISS/CBS,424737,2018,Marketplace,Second Owner,44052,276702
Yamaha Sniper 155,152679,2023,Private,First Owner,31937,540454
Yamaha Mio Fazzio,287724,2020,Private,First Owner,25394,594432
Yamaha Mio Fazzio,324985,2023,Dealer,Second Owner,32130,309406
Yamaha YZF R15 155,276434,2021,Private,Third Owner,9538,428659
Yamaha Mio Fazzio,375450,2023,Marketplace,Second Owner,11086,270880
Yamaha MT-03,355227,2021,Private,First Owner,20327,495374
Royal Enfield Shotgun 650,113137,2019,Marketplace,Second Owner,10302,552664
Kymco Skytown 150,142629,2022,Marketplace,Third Owner,42600,432007
Yamaha Mio Fazzio,193593,2021,Marketplace,Third Owner,37059,311391
Yamaha MT-03,237544,2018,Dealer,Second Owner,10392,215187
Royal Enfield Shotgun 650,419663,2018,Private,Third Owner,25995,481362
Kymco Like S 150,250105,2021,Marketplace,Second Owner,15952,72736
Honda BeAT Premium ISS/CBS,459262,2020,Dealer,Third Owner,37098,500152
Honda BeAT Premium ISS/CBS,371376,2023,Marketplace,Third Owner,43573,578638
Kymco Skytown 150,284351,2017,Private,First Owner,9150,517237
Honda PCX160 CBS,51193,2018,Private,Third Owner,43413,216444
Yamaha Mio Fazzio,287450,2019,Marketplace,Third Owner,49839,320352
Yamaha Sniper 155,112103,2023,Private,Third Owner,16017,112330
Yamaha Sniper 155,80117,2024,Marketplace,First Owner,26252,181789
Yamaha YZF R15 155,372214,2022,Marketplace,First Owner,43035,476024
Honda PCX160 CBS,177351,2022,Private,Second Owner,4532,353351
Honda PCX160 CBS,420340,2022,Marketplace,First Owner,33706,396279
Honda CRF250L,53924,2022,Private,Second Owner,28341,376244
Suzuki Gixxer SF 155,139956,2022,Private,First Owner,39729,173230
Yamaha Sniper 155,236688,2020,Marketplace,First Owner,39058,412436
Yamaha Mio Fazzio,123204,2023,Dealer,Second Owner,40960,62928
Honda BeAT Premium ISS/CBS,363610,2019,Marketplace,Third Owner,8653,454843
Honda BeAT Premium ISS/CBS,373662,2023,Private,First Owner,10406,231578
Honda CRF250L,144282,2023,Dealer,Second Owner,36642,132927
Yamaha Sniper 155,264350,2021,Dealer,Third Owner,29134,433852
Kawasaki Ninja 300,95358,2024,Dealer,Second Owner,23952,322950
Yamaha Mio Aerox S,277476,2022,Dealer,Third Owner,29262,554201
Kawasaki Ninja 300,49428,2019,Marketplace,Third Owner,28183,171030
Suzuki Gixxer SF 155,237796,2017,Private,Second Owner,17072,400030
Kawasaki Ninja 300,40578,2019,Private,First Owner,30554,324796
Suzuki Burgman 125,150644,2019,Marketplace,Third Owner,30082,512533
Kymco Skytown 150,371625,2024,Private,Second Owner,35791,559049
Kawasaki Ninja 300,272459,2023,Marketplace,Third Owner,47927,118539
Yamaha XMAX,399531,2022,Marketplace,First Owner,10223,360558
Honda PCX160 CBS,417536,2023,Dealer,First Owner,30150,322106
Honda CRF250L,284410,2018,Dealer,Second Owner,31727,585287
Kymco Skytown 150,393340,2018,Private,First Owner,2316,420697
Yamaha MT-03,498651,2024,Dealer,First Owner,37643,212050
Yamaha Mio Aerox S,343237,2017,Marketplace,Second Owner,30114,557250
Kymco Like S 150,144283,2019,Marketplace,First Owner,24282,147773
Yamaha Sniper 155,149052,2017,Private,Second Owner,14514,411849
Yamaha XMAX,89901,2019,Marketplace,Third Owner,7661,324651
Yamaha Mio Fazzio,331842,2018,Dealer,Second Owner,38984,452497
Suzuki Burgman 125,216251,2022,Private,First Owner,6434,297424
Suzuki Gixxer SF 155,279924,2017,Marketplace,Second Owner,18130,572691
Yamaha YZF R15 155,374732,2024,Marketplace,First Owner,39229,567469
Kymco Like S 150,388294,2023,Dealer,Second Owner,6590,407240
Royal Enfield Shotgun 650,494233,2018,Dealer,Third Owner,10702,393416
Yamaha MT-03,333639,2022,Dealer,First Owner,19120,356636
Yamaha Mio Aerox S,465413,2024,Private,Third Owner,3172,321380
Yamaha XMAX,202771,2019,Marketplace,First Owner,36226,66192
Kymco Like S 150,131088,2020,Dealer,Second Owner,2183,199530
Honda PCX160 CBS,116753,2020,Marketplace,Third Owner,23851,561332
Honda CRF250L,488493,2020,Private,Third Owner,1706,412989
Honda CRF250L,60621,2020,Marketplace,First Owner,6717,51411
Kymco Skytown 150,261973,2024,Dealer,Second Owner,41900,580658
Kymco Skytown 150,222816,2022,Marketplace,Second Owner,29098,216406
Suzuki Gixxer SF 155,127547,2018,Marketplace,Third Owner,24513,410213
Kawasaki Ninja 300,181923,2022,Dealer,Second Owner,6446,494846
Suzuki Gixxer SF 155,456971,2018,Marketplace,First Owner,44857,182049
Suzuki Gixxer SF 155,118653,2021,Marketplace,Third Owner,4038,421425
Honda PCX160 CBS,280428,2018,Private,Third Owner,14407,510652
Yamaha Mio Aerox S,119626,2024,Marketplace,First Owner,1453,202341
Yamaha YZF R15 155,144260,2023,Marketplace,Second Owner,15512,479672
Kymco Skytown 150,254406,2023,Dealer,First Owner,36244,131220
Yamaha XMAX,252585,2021,Private,Second Owner,21970,314957
Honda PCX160 CBS,75484,2021,Marketplace,Third Owner,17034,271801
Suzuki Gixxer SF 155,321446,2022,Dealer,Third Owner,37252,593092
Kymco Skytown 150,337486,2023,Private,First Owner,13205,99432
Yamaha XMAX,181514,2024,Dealer,First Owner,36290,88578
Suzuki Burgman 125,335037,2019,Marketplace,First Owner,6570,290578
Suzuki Burgman 125,373625,2023,Marketplace,Second Owner,36648,461011
Honda PCX160 CBS,172772,2022,Dealer,Second Owner,26180,383087
Yamaha Mio Aerox S,162966,2024,Dealer,Second Owner,26325,136672
Royal Enfield Shotgun 650,268933,2023,Dealer,Third Owner,38573,154488
Yamaha Sniper 155,47284,2021,Private,First Owner,28845,560100
Honda CRF250L,236092,2019,Private,Third Owner,21676,513346
Yamaha YZF R15 155,300122,2022,Marketplace,Second Owner,38742,364090
Yamaha YZF R15 155,436396,2023,Dealer,Second Owner,44132,56967
Yamaha YZF R15 155,494780,2019,Dealer,Second Owner,29731,404228
Yamaha MT-03,315254,2024,Marketplace,Third Owner,4013,137198
Honda BeAT Premium ISS/CBS,394556,2023,Private,Second Owner,6326,430772
Yamaha Sniper 155,497530,2022,Private,First Owner,21057,383936
Yamaha XMAX,61838,2023,Marketplace,Second Owner,33740,298977
Honda CRF250L,304663,2023,Private,Second Owner,31437,133528
Honda PCX160 CBS,64557,2017,Dealer,First Owner,9232,103468
Suzuki Gixxer SF 155,313842,2022,Private,Second Owner,36349,584767
Suzuki Burgman 125,426405,2017,Dealer,Third Owner,39054,260762
Suzuki Gixxer SF 155,254785,2017,Private,Third Owner,33913,363162
Suzuki Burgman 125,249705,2018,Private,Third Owner,24121,555147
Yamaha Sniper 155,107547,2024,Dealer,Third Owner,24303,311511
Yamaha Mio Fazzio,436023,2021,Private,Second Owner,17082,291097
Honda CRF250L,328918,2017,Dealer,Second Owner,21105,60135
Honda CRF250L,57886,2024,Private,First Owner,30349,385306
Royal Enfield Shotgun 650,107429,2023,Dealer,Third Owner,3180,280894
Kymco Like S 150,443382,2018,Marketplace,Third Owner,28222,171495
Yamaha YZF R15 155,381080,2024,Marketplace,Second Owner,3149,50583
Royal Enfield Shotgun 650,354793,2022,Private,Third Owner,21105,217401
Suzuki Burgman 125,457858,2019,Marketplace,Third Owner,29683,400403
Honda CRF250L,257703,2021,Private,Third Owner,40833,509616
Honda BeAT Premium ISS/CBS,495944,2022,Private,Third Owner,3129,99330
Kymco Skytown 150,202024,2023,Dealer,First Owner,31717,545529
Yamaha MT-03,475076,2018,Dealer,Third Owner,23170,58313
Honda PCX160 CBS,183426,2019,Dealer,First Owner,34416,249346
Kymco Skytown 150,309460,2021,Marketplace,Second Owner,47202,549160
Yamaha MT-03,69217,2024,Marketplace,First Owner,37341,60498
Yamaha Mio Aerox S,272972,2017,Marketplace,Third Owner,32481,95867
Yamaha MT-03,311249,2021,Dealer,First Owner,49791,562071
Kymco Like S 150,143979,2018,Private,First Owner,5019,577703
Kymco Skytown 150,240332,2018,Private,First Owner,18133,289555
Yamaha XMAX,147679,2024,Marketplace,First Owner,44243,337808
Honda BeAT Premium ISS/CBS,431263,2024,Private,Second Owner,43124,508096
Kymco Like S 150,432496,2024,Private,Second Owner,15651,63906
Yamaha Mio Fazzio,255506,2018,Private,Third Owner,27222,203572
Yamaha Mio Aerox S,123543,2023,Marketplace,Third Owner,20421,211644
Yamaha YZF R15 155,456194,2022,Dealer,Third Owner,49188,411771
Yamaha YZF R15 155,337999,2020,Dealer,First Owner,7337,486623
Royal Enfield Shotgun 650,77926,2019,Private,Second Owner,30020,490645
Suzuki Gixxer SF 155,43709,2019,Marketplace,First Owner,49219,356399
Yamaha MT-03,402027,2024,Dealer,First Owner,18453,355808
Honda PCX160 CBS,41949,2022,Dealer,Second Owner,47391,504552
